,DATE,STOCK_CODE,STOCK_ABBREVIATION,CLICK,ABBREVIATION_x,CLICK_PERCENT_ASSET100000,CLICK_PERCENT_ASSET500000,CLICK_PERCENT_ASSET1000000,ABBREVIATION_y,FAVORITE_PERCENT_x,ABBREVIATION,PERCENTAGE_ASSET100000,PERCENTAGE_ASSET500000,PERCENTAGE_ASSET1000000,cnt_1,cnt_1.1,FAVORITE_PERCENT_y,PERCENT_INCREASE,cnt_2,cnt_2.1,FAVORITE_PERCENT_ASSET100000,FAVORITE_PERCENT_INCREASE_ASSET100000,cnt_3,cnt_3.1,FAVORITE_PERCENT_ASSET500000,FAVORITE_PERCENT_INCREASE_ASSET500000,cnt_4,cnt_4.1,FAVORITE_PERCENT_ROOKIE,FAVORITE_PERCENT_INCREASE_ROOKIE,cnt_5,cnt_5.1,FAVORITE_PERCENT_1YEAR,FAVORITE_PERCENT_INCREASE_1YEAR,cnt_6,cnt_6.1,FAVORITE_PERCENT_3YEAR,FAVORITE_PERCENT_INCREASE_3YEAR,cnt_7,cnt_7.1,FAVORITE_PERCENT_5YEAR,FAVORITE_PERCENT_INCREASE_5YEAR,DateTime,return,returnlag1
266420,20141010,000025,特力A,14560,特力A,3.459e-05,1.907e-05,2.2100000000000002e-05,特力A,0.00016837,特力A,0.00016093,0.00016230000000000001,0.00019707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.471791,-1.078838
266421,20141010,000026,飞亚达A,42467,飞亚达A,0.00015701,0.0002052,5.157e-05,飞亚达A,0.00021508,飞亚达A,0.00025668,0.00020749,0.00020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.2195120000000002,1.8993349999999998
266422,20141010,000027,深圳能源,51892,深圳能源,0.00013505,0.00017867,0.00012735,深圳能源,0.00027322,深圳能源,0.00031898,0.00033692,0.00030846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-0.9722219999999999,-0.420757
266423,20141010,000028,国药一致,15972,国药一致,6.683e-05,0.00010861,6.315e-05,国药一致,0.00013636,国药一致,0.00012459,0.00016230000000000001,0.0001628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-0.63279,-0.07719
266424,20141010,000029,深深房A,161546,深深房A,0.00043773,0.00037655,0.00021313,深深房A,0.00028079,深深房A,0.00021861,0.00015408,0.00017994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,6.104129,-0.338409
266425,20141010,000030,富奥股份,66223,富奥股份,0.00018037,0.00011317,8.420000000000001e-05,富奥股份,0.00025218,富奥股份,0.00028898,0.00026091,0.00020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-2.060606,0.742574
266426,20141010,000031,中粮地产,318347,中粮地产,0.00118613,0.00099049,0.00114352,中粮地产,0.00068763,中粮地产,0.00058546,0.00053415,0.00057837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,2.173913,2.48227
266427,20141010,000032,深桑达A,6055,深桑达A,1.268e-05,2.681e-05,5.736e-05,深桑达A,9.029e-05,深桑达A,0.00010325,0.00010888,0.00011567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.0,0.0
266428,20141010,000033,*ST新都,5168,*ST新都,1.023e-05,6.36e-06,8.42e-06,*ST新都,8.897e-05,*ST新都,6.056e-05,8.628e-05,0.00010282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266429,20141010,000034,深信泰丰,29213,神州数码,0.00013343,0.00013003,0.00027733,神州数码,0.00022201,神州数码,0.00023361,0.00026091,0.00035559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.833568,3.735632
266430,20141010,000035,中国天楹,132407,中国天楹,0.00034760000000000005,0.00023284,0.00017576,中国天楹,0.00025038,中国天楹,0.00029533,0.00028351,0.00029133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,1.597676,-2.5017869999999998
266431,20141010,000036,华联控股,60004,华联控股,0.00013505,0.00014233,8.051e-05,华联控股,0.00035684,华联控股,0.00027398,0.00025269,0.00029133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.138952,-0.691244
266432,20141010,000037,深南电A,19822,*ST南电A,5.817e-05,4.615e-05,4.947e-05,*ST南电A,0.0001511,*ST南电A,0.00013959,0.00010888,0.00017994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-2.139037,-2.550091
266433,20141010,000038,深大通,16423,深大通,0.0001636,0.00033758,0.00076779,深大通,8.02e-05,深大通,0.00011825,0.00013969999999999998,0.00014995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.173469,-2.271554
266434,20141010,000039,中集集团,90144,中集集团,0.00021697,0.00023947,0.00016840000000000003,中集集团,0.00039175,中集集团,0.00039108,0.00040472,0.00038558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-0.18867899999999999,-1.134216
266435,20141010,000040,宝安地产,26312,东旭蓝天,0.00011628,0.00016527,8.051e-05,东旭蓝天,9.325e-05,东旭蓝天,9.056e-05,8.628e-05,0.00013281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,1.541426,-0.759013
266436,20141010,000042,中洲控股,52763,中洲控股,8.795e-05,0.00010958,3.368e-05,中洲控股,0.00020927,中洲控股,0.00019265,0.00021571,0.00027419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-0.757576,0.9160309999999999
266437,20141010,000043,中航地产,150039,中航地产,0.00115244,0.00085507,0.00078726,中航地产,0.00049404,中航地产,0.00046606,0.00043553,0.00047983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-2.5,-2.1538459999999997
266438,20141010,000045,深纺织A,37137,深纺织A,0.00026658,0.00028189,0.00073463,深纺织A,0.00016276,深纺织A,0.00014593,0.00017052,0.00020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,2.466793,1.296296
266439,20141010,000046,泛海控股,31691,泛海控股,4.554e-05,6.26e-05,1.052e-05,泛海控股,0.00020140000000000002,泛海控股,0.00021630000000000003,0.00019311,0.00022706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.170068,0.0
266440,20141010,000048,康达尔,54845,康达尔,0.00024775,0.00011165,0.00027312,康达尔,0.00016532,康达尔,0.00020361,0.00022393,0.00029133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.717489,-2.22618
266441,20141010,000049,德赛电池,109917,德赛电池,0.00042348,0.00022828,0.00016208,德赛电池,0.00059145,德赛电池,0.00066218,0.00062659,0.00067262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.746393,-1.107676
266442,20141010,000050,深天马A,214766,深天马A,0.00084026,0.00034476,0.00027891,深天马A,0.00096199,深天马A,0.00082887,0.00070261,0.00056123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.764014,-3.471668
266443,20141010,000055,方大集团,84738,方大集团,0.00025457,0.00027623,0.00055782,方大集团,0.00023948,方大集团,0.00021227,0.00015408,0.00013281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,2.277904,-0.890869
266444,20141010,000056,深国商,81709,皇庭国际,0.00045863,0.00012284,6.315e-05,皇庭国际,0.00025387,皇庭国际,0.00029936,0.00020749,0.00019707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-3.1088080000000002,-4.337493
266445,20141010,000058,深赛格,108667,深赛格,0.00038068,0.00033053,0.00023418,深赛格,0.00028589,深赛格,0.00028033,0.00029173,0.00029133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,3.135314,-0.8
266446,20141010,000059,*ST华锦,85127,华锦股份,0.00039806,0.00059432,0.00089829,华锦股份,0.00055711,华锦股份,0.00054912,0.00057318,0.00059122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.127551,-1.656051
266447,20141010,000060,中金岭南,139761,中金岭南,0.00068336,0.00029156,0.00021313,中金岭南,0.00064317,中金岭南,0.00060911,0.00062659,0.00057837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-2.435897,3.810775
266448,20141010,000061,农产品,139722,农产品,0.00062587,0.00036826,0.00024996,农产品,0.00050696,农产品,0.00040838,0.00038212,0.00033845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-4.528582,0.07776
266449,20141010,000062,深圳华强,100695,深圳华强,0.00059838,0.00031354,0.00036311,深圳华强,0.00041365,深圳华强,0.000368,0.00037596,0.00038558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,1.766784,0.578704
266450,20141010,000063,中兴通讯,291716,中兴通讯,0.00074639,0.00091021,0.00082409,中兴通讯,0.00135354,中兴通讯,0.00117265,0.00113609,0.00113103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.623377,-1.1881190000000001
266451,20141010,000065,北方国际,47029,北方国际,0.00018037,0.00010599,6.315e-05,北方国际,0.00034673,北方国际,0.00037666,0.00033692,0.00030846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.124926,-1.317365
266452,20141010,000066,长城电脑,249312,长城电脑,0.00054216,0.00059432,0.00031206,长城电脑,0.0005909,长城电脑,0.00041473,0.00034514,0.00029133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.29325500000000004,8.040936
266453,20141010,000068,*ST华赛,25758,华控赛格,6.085e-05,6.204e-05,0.00019366,华控赛格,0.00012673,华控赛格,0.00014189,0.00020133,0.00022706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-2.34375,3.542857
266454,20141010,000069,华侨城A,96108,华侨城A,0.00037325,0.00025274,0.00027312,华侨城A,0.0003477,华侨城A,0.00035069999999999996,0.00039034,0.00036844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.359712,1.433692
266455,20141010,000070,特发信息,6773,,,,,特发信息,0.00015094,特发信息,0.00014593,0.00010888,0.00011567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.0,0.0
266456,20141010,000078,海王生物,274082,海王生物,0.00051836,0.00045725,0.00044099,海王生物,0.00090221,海王生物,0.00071582,0.00056496,0.00051411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-0.389484,3.5190620000000004
266457,20141010,000088,盐田港,108597,盐田港,0.00028804,0.00037696,0.00045836,盐田港,0.00055863,盐田港,0.00041242,0.00042115,0.00030846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-0.308166,0.30911900000000003
266458,20141010,000089,深圳机场,23557,深圳机场,4.163e-05,2.929e-05,5.157e-05,深圳机场,0.00012351,深圳机场,0.00012459,0.00014792,0.00019707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-0.666667,-0.447427
266459,20141010,000090,天健集团,11451,天健集团,3.833e-05,3.496e-05,1.842e-05,天健集团,0.00015711,天健集团,0.00012863,0.00017052,0.0001628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.0,0.0
266460,20141010,000096,广聚能源,61145,广聚能源,0.0002035,0.00024458,9.209e-05,广聚能源,0.00057706,广聚能源,0.00044876,0.00042115,0.00046698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.9035529999999998,0.517464
266461,20141010,000099,中信海直,281823,中信海直,0.00091139,0.00080132,0.00031206,中信海直,0.00106603,中信海直,0.0009823,0.00096762,0.00086113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.077399,0.232019
266462,20141010,000100,TCL集团,1982583,TCL集团,0.00696164,0.00644275,0.00558868,TCL集团,0.00157496,TCL集团,0.00120668,0.0012120999999999998,0.00105392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,10.144928,-0.986842
266463,20141010,000150,宜华健康,234555,宜华健康,0.00093268,0.00089128,0.00125456,宜华健康,0.00024976,宜华健康,0.00021227,0.00020133,0.00027419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,10.009625,2.274716
266464,20141010,000151,中成股份,87689,中成股份,0.00033146,0.00038415,0.00012946,中成股份,0.00053837,中成股份,0.00047010000000000004,0.00039855,0.00036844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.755527,0.463269
266465,20141010,000153,丰原药业,62958,丰原药业,0.00011298,8.664e-05,4.526e-05,丰原药业,0.00023018,丰原药业,0.00018227,0.00017052,0.00022706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,1.5817219999999999,0.17301
266466,20141010,000155,*ST川化,304733,*ST川化,0.00105712,0.00122872,0.00210181,*ST川化,0.00040545,*ST川化,0.00040204,0.00031432,0.00036844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,8.895265,-4.874835
266467,20141010,000156,华数传媒,54971,华数传媒,0.00026139,0.00013417,7.473e-05,华数传媒,0.00063084,华数传媒,0.00061315,0.0005814,0.00040272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-2.3614610000000003,0.322477
266468,20141010,000157,中联重科,250250,中联重科,0.00098252,0.00113005,0.00069411,中联重科,0.00083997,中联重科,0.00076485,0.00068001,0.00073688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-0.809717,1.2244899999999999
266469,20141010,000158,常山股份,199944,常山股份,0.00062195,0.00068994,0.00067254,常山股份,0.00044548,常山股份,0.00029302,0.00031432,0.00036844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,9.944751,10.050251
266470,20141010,000159,国际实业,27055,国际实业,7.638e-05,5.389e-05,4.157e-05,国际实业,0.00036225,国际实业,0.00033166,0.00029994,0.00024419999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.0,2.217295
266471,20141010,000301,东方市场,179330,东方市场,0.00063559,0.00043624,0.00058465,东方市场,0.00057807,东方市场,0.00054508,0.00050538,0.00052696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-2.068966,-1.877934
266472,20141010,000333,美的集团,181406,美的集团,0.00118451,0.00102227,0.00159925,美的集团,0.00072354,美的集团,0.00073947,0.00073959,0.00068547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-0.889768,-0.648379
266473,20141010,000338,潍柴动力,196045,潍柴动力,0.0008316,0.00090413,0.0015582,潍柴动力,0.00056197,潍柴动力,0.00063449,0.00068617,0.00076687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.5365850000000001,-1.940805
266474,20141010,000400,许继电气,168478,许继电气,0.00050763,0.00035098,0.00026365,许继电气,0.00070173,许继电气,0.00073255,0.00067179,0.00070261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.500234,2.332223
266475,20141010,000401,冀东水泥,84914,冀东水泥,0.00020847,0.00024514,0.00014261,冀东水泥,0.00041623,冀东水泥,0.00037839,0.00029994,0.00027419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.683502,0.5707760000000001
266476,20141010,000402,金融街,85379,金融街,0.00051713,0.00092554,0.0026390999999999997,金融街,0.00038975,金融街,0.00044472,0.00049717,0.00043271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.306748,0.15290499999999999
266477,20141010,000403,ST生化,43619,ST生化,0.00019026,0.00026144,0.00067622,ST生化,0.00014109,ST生化,0.00018862,0.00023831,0.00036844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.493938,-0.9830209999999999
266478,20141010,000404,华意压缩,94761,华意压缩,0.00025167,0.00021183,0.0004252,华意压缩,0.00033222,华意压缩,0.00036339,0.00038212,0.00036844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.414427,-1.1477760000000001
266479,20141010,000407,胜利股份,54004,胜利股份,0.00018449999999999999,0.00023947,0.00014682,胜利股份,0.00022981,胜利股份,0.00021227,0.00029173,0.00030846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-1.386963,-0.421941
266480,20141010,000408,金谷源,8822,,,,,*ST金源,8.674e-05,*ST金源,8.421e-05,0.00010067,0.00011567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,0.0,0.0
266481,20141010,000409,山东地矿,64715,山东地矿,0.00025977,0.00014689,0.00030838,山东地矿,0.00020593,山东地矿,0.0002313,0.00030611,0.00032132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-3.75881,0.7323029999999999
266482,20141010,000410,沈阳机床,123096,沈阳机床,0.00080014,0.00093992,0.00076989,沈阳机床,0.0005511,沈阳机床,0.0004851,0.00043553,0.00035559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,-2.4844720000000002,3.566879
266483,20141010,000411,英特集团,244635,英特集团,0.00106952,0.00095221,0.00086146,英特集团,0.00020985,英特集团,0.00026533,0.00026091,0.00027419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141010,10.032573,4.973357
